id,amount_base,transaction_date,description_normalized,counterparty_normalized,expected_match_type
85,4158.51,2024-01-18T00:00:00,Equipment purchase,Apple,fuzzy
86,1393.63,2024-01-25T00:00:00,Consultant fee payment (Online),Office Depot,fuzzy
87,1681.69,2024-01-29T00:00:00,Consultant fee payment (Online),ABC Corp,fuzzy
88,2043.08,2024-01-18T00:00:00,Equipment purchase (Online),Google Ads,fuzzy
89,106.26,2024-01-29T00:00:00,Payment for Insurance premium,Microsoft,fuzzy
90,3744.08,2024-01-18T00:00:00,Insurance premium,Microsoft,fuzzy
91,1689.53,2024-01-22T00:00:00,Marketing campaign cost,ABC Corp,fuzzy
92,4537.21,2024-01-19T00:00:00,Insurance premium (Online),ABC Corp,fuzzy
93,1307.73,2024-01-11T00:00:00,Utility bill payment,Google Ads,fuzzy
94,4178.70,2024-01-16T00:00:00,Payment for Coffee shop purchase,PG&E,fuzzy
95,3770.61,2024-01-31T00:00:00,Utility bill payment 2025-08-15,PG&E,fuzzy
96,4741.98,2024-01-15T00:00:00,SOFTWARE SUBSCRIPTION,Office Depot,fuzzy
97,550.17,2024-01-01T00:00:00,Software subscription,Google Ads,fuzzy
98,2960.59,2024-01-27T00:00:00,Utility bill payment,State Farm,fuzzy
99,1738.24,2024-01-14T00:00:00,Travel reimbursement,Starbucks,fuzzy
100,2175.35,2024-01-12T00:00:00,Equipment purchase,Consulting LLC,fuzzy
101,4042.56,2024-01-18T00:00:00,Equipment purchase,State Farm,fuzzy
102,1404.35,2024-01-15T00:00:00,Utility bill payment,Google Ads,fuzzy
103,920.36,2024-01-07T00:00:00,Travel reimbursement,State Farm,fuzzy
104,56.51,2024-01-31T00:00:00,Utility bill payment,Apple,fuzzy
105,2385.18,2024-01-23T00:00:00,Payment for Equipment purchase,PG&E,fuzzy
106,3323.69,2024-01-12T00:00:00,Equipment purchase,Consulting LLC,fuzzy
107,1542.26,2024-01-08T00:00:00,Office supplies expense,Consulting LLC,fuzzy
108,1092.01,2024-01-16T00:00:00,Software subscription,Consulting LLC,fuzzy
109,1486.29,2024-01-12T00:00:00,Client payment received,ABC Corp,fuzzy
110,1469.14,2024-01-31T00:00:00,Client payment received,Office Depot,fuzzy
111,2349.13,2024-01-15T00:00:00,Travel reimbursement (Online),Office Depot,fuzzy
112,376.19,2024-01-21T00:00:00,Coffee shop purchase,Microsoft,fuzzy
113,2795.74,2024-01-14T00:00:00,Insurance premium,Consulting LLC,fuzzy
114,4302.92,2024-01-14T00:00:00,Software_subscription,Office Depot,fuzzy
115,1059.59,2024-01-22T00:00:00,Office supplies expense - TXN#264136,Starbucks,fuzzy
116,1465.45,2024-01-08T00:00:00,Software subscription,Apple,fuzzy
117,3942.87,2024-01-21T00:00:00,Insurance premium,Google Ads,fuzzy
118,749.17,2024-01-09T00:00:00,Payment for Client payment received,State Farm,fuzzy
119,2203.38,2024-01-15T00:00:00,Software subscription,Consulting LLC,fuzzy
120,2996.55,2024-01-29T00:00:00,Marketing campaign cost,Starbucks,fuzzy
121,955.71,2024-01-25T00:00:00,Software subscription,ABC Corp,partial
122,492.3,2024-01-27T00:00:00,Equipment purchase,Apple,partial
123,470.48,2024-01-16T00:00:00,Software subscription,Google Ads,partial
124,390.95,2024-01-25T00:00:00,Marketing campaign cost,Starbucks,partial
125,662.87,2024-01-25T00:00:00,COFFEE SHOP PURCHASE,ABC Corp,partial
126,647.98,2024-01-08T00:00:00,Client payment received,Starbucks,partial
127,848.93,2024-01-16T00:00:00,Software subscription,Microsoft,partial
128,445.23,2024-01-30T00:00:00,Insurance premium,ABC Corp,partial
129,940.82,2024-01-17T00:00:00,Software subscription,Microsoft,partial
130,501.89,2024-01-16T00:00:00,Travel reimbursement,Consulting LLC,partial
131,614.62,2024-01-08T00:00:00,Marketing_campaign_cost,Apple,partial
132,545.8,2024-01-02T00:00:00,Client payment received,State Farm,partial
133,750.2,2024-01-14T00:00:00,Payment for Client payment received,Delta Airlines,partial
134,958.73,2024-01-21T00:00:00,Equipment purchase,Starbucks,partial
135,997.68,2024-01-24T00:00:00,Office supplies expense,Office Depot,partial
136,913.08,2024-01-02T00:00:00,Travel reimbursement,Microsoft,partial
137,713.62,2024-01-06T00:00:00,CLIENT PAYMENT RECEIVED,Google Ads,partial
138,308.97,2024-01-21T00:00:00,Software subscription,Starbucks,partial
139,950.71,2024-01-19T00:00:00,Software subscription,Google Ads,partial
140,195.99,2024-01-13T00:00:00,Insurance premium,Microsoft,partial
141,4326.69,2024-01-25T00:00:00,Coffee shop purchase,Apple,unmatched
142,4165.87,2024-01-29T00:00:00,Software subscription,PG&E,unmatched
143,3039.25,2024-01-12T00:00:00,Utility bill payment,State Farm,unmatched
144,1260.63,2024-01-25T00:00:00,Client payment received,Starbucks,unmatched
145,1551.58,2024-01-15T00:00:00,Coffee shop purchase,ABC Corp,unmatched
146,459.77,2024-01-10T00:00:00,Travel reimbursement,ABC Corp,unmatched
147,1011.97,2024-01-26T00:00:00,Consultant fee payment,Delta Airlines,unmatched
148,2658.95,2024-01-30T00:00:00,Software subscription,Microsoft,unmatched
149,4571.1,2024-01-31T00:00:00,Equipment purchase,Microsoft,unmatched
150,3735.33,2024-01-11T00:00:00,Office supplies expense,Office Depot,unmatched
151,712.38,2024-01-31T00:00:00,Utility bill payment,Google Ads,unmatched
152,4836.68,2024-01-26T00:00:00,Consultant fee payment,Google Ads,unmatched
153,79.45,2024-01-18T00:00:00,Office supplies expense,Microsoft,unmatched
154,2926.95,2024-01-27T00:00:00,Travel reimbursement 2025-08-15,Apple,unmatched
155,134.87,2024-01-29T00:00:00,Consultant fee payment,State Farm,unmatched
156,1114.62,2024-01-03T00:00:00,Equipment purchase,Microsoft,unmatched
157,3249.7,2024-01-04T00:00:00,Client payment received - TXN#419149,Apple,unmatched
158,589.44,2024-01-08T00:00:00,Consultant fee payment (Online),Delta Airlines,unmatched
159,3355.73,2024-01-24T00:00:00,Consultant fee payment,ABC Corp,unmatched
160,4428.21,2024-01-21T00:00:00,Office supplies expense,State Farm,unmatched
161,2046.5,2024-01-31T00:00:00,Payment for Software subscription,PG&E,unmatched
162,2222.48,2024-01-31T00:00:00,Utility bill payment,Office Depot,unmatched
163,4904.83,2024-01-12T00:00:00,Consultant fee payment,Delta Airlines,unmatched
164,312.14,2024-01-09T00:00:00,Utility bill payment,Apple,unmatched
165,467.45,2024-01-07T00:00:00,Insurance premium,Starbucks,unmatched
